65097|481|0|0|73
35544|1164|0|0|67
32962|415|0|0|42
35547|1164|0|0|54
35548|1164|0|0|23
24029|208|0|0|27
51829|1929|0|0|53
48027|969|0|0|54
38842|1172|0|0|75
05798|1052|0|0|75
65093|1617|0|0|58
35545|1164|0|0|50
55292|998|0|0|87
55293|998|0|0|32
02108|352|0|0|42
02109|352|0|0|40
55296|998|0|0|83
35546|1164|0|0|74
55295|998|0|0|49
02103|352|0|0|75
07460|187|0|0|68
07461|187|0|0|55
02106|352|0|0|99
02104|352|0|0|57
54964|996|0|0|42
16073|676|0|0|75
48898|239|0|0|57
48899|239|0|0|63
06039|821|0|0|28
16072|676|0|0|67
22269|534|0|0|57
48893|1214|0|0|34
48890|1214|0|0|72
48891|1214|0|0|52
16071|676|0|0|87
48894|1214|0|0|47
48895|1214|0|0|68
38643|1463|0|0|100
16070|676|0|0|100
25066|156|0|0|57
25067|156|0|0|62
00854|1286|0|0|91
00855|1286|0|0|55
25068|156|0|0|51
25069|156|0|0|21
57483|1252|0|0|110
16076|858|0|0|42
13548|197|0|0|54
53903|777|0|0|72
52663|1540|0|0|51
25715|1766|0|0|88
57484|1252|0|0|31
53181|1937|0|0|54
10612|1662|0|0|27
27376|1135|0|0|48
27377|1135|0|0|79
27378|1135|0|0|54
27379|1135|0|0|29
16642|1373|0|0|46
57486|1252|0|0|33
11878|1343|0|0|78
57489|1252|0|0|42
09501|1658|0|0|86
08980|1336|0|0|55
57290|98|0|0|47
57291|98|0|0|69
00337|1283|0|0|24
44490|1876|0|0|74
70179|337|0|0|146
21090|1396|0|0|65
48304|1210|0|0|48
57298|331|0|0|45
25282|1763|0|0|66
07033|1323|0|0|38
24828|889|0|0|71
25281|1763|0|0|57
19973|876|0|0|57
19971|876|0|0|64
19970|876|0|0|30
16709|1374|0|0|72
02864|1301|0|0|91
69421|569|0|0|56
16705|1374|0|0|26
07035|1323|0|0|37
16707|1374|0|0|22
16706|1374|0|0|13
13114|1682|0|0|58
06334|53|0|0|19
06337|53|0|0|54
06336|53|0|0|54
06331|53|0|0|62
06330|53|0|0|90
06333|53|0|0|36
06332|53|0|0|77
12015|1079|0|0|54
12014|1079|0|0|75
12017|1079|0|0|83
06339|53|0|0|83
06338|53|0|0|124
12013|1079|0|0|71
61950|1993|0|0|62
02856|1615|0|0|70
02867|1301|0|0|42
03805|1619|0|0|72
23900|1120|0|0|45
01377|1291|0|0|19
47043|1200|0|0|64
14979|1701|0|0|63
60911|793|0|0|54
10709|193|0|0|30
48021|969|0|0|70
47058|1511|0|0|42
10703|193|0|0|52
10707|193|0|0|54
10706|193|0|0|79
10705|193|0|0|71
10704|193|0|0|60
24883|890|0|0|40
65504|60|0|0|49
65500|274|0|0|40
